
-------------------
Convergence Report:
-------------------
"Bus.Node", "Error", "|V|","Vbase"
"bmtfic.1"         ,    0.00000,  8.27121E+0003,  7.96743E+0003
"bmtfic.2"         ,    0.00000,  8.27010E+0003,  7.96743E+0003
"bmtfic.3"         ,    0.00000,  8.27150E+0003,  7.96743E+0003
"bmt6175031b.3"    ,    0.00000,  8.04333E+0003,  7.96743E+0003
"bmt6175108b.3"    ,    0.00000,  8.04333E+0003,  7.96743E+0003
"bmt6175115b.3"    ,    0.00000,  8.04333E+0003,  7.96743E+0003
"bmt168251555.3"   ,    0.00000,  8.04333E+0003,  7.96743E+0003
"bmt168251556.3"   ,    0.00000,  8.04333E+0003,  7.96743E+0003
"bmt168251557.3"   ,    0.00000,  8.04333E+0003,  7.96743E+0003
"bmt170101273.1"   ,    0.00000,  8.19518E+0003,  7.96743E+0003
"bmt170101273.2"   ,    0.00000,  8.17150E+0003,  7.96743E+0003
"bmt170101273.3"   ,    0.00000,  8.14559E+0003,  7.96743E+0003
"bmt170101274.1"   ,    0.00000,  8.19524E+0003,  7.96743E+0003
"bmt170101274.2"   ,    0.00000,  8.17143E+0003,  7.96743E+0003
"bmt170101274.3"   ,    0.00000,  8.14544E+0003,  7.96743E+0003
"bmt6177754b.2"    ,    0.00000,  8.17149E+0003,  7.96743E+0003
"bmt6177761b.2"    ,    0.00000,  8.17149E+0003,  7.96743E+0003
"bmt170101275.2"   ,    0.00000,  8.17149E+0003,  7.96743E+0003
"bmt6190123b.1"    ,    0.00000,  8.24324E+0003,  7.96743E+0003
"bmt160020569.1"   ,    0.00000,  8.24324E+0003,  7.96743E+0003
"bmt99456807.1"    ,    0.00000,  8.27121E+0003,  7.96743E+0003
"bmt99456807.2"    ,    0.00000,  8.27010E+0003,  7.96743E+0003
"bmt99456807.3"    ,    0.00000,  8.27150E+0003,  7.96743E+0003
"bmt99456814.1"    ,    0.00000,  8.27118E+0003,  7.96743E+0003
"bmt99456814.2"    ,    0.00000,  8.27005E+0003,  7.96743E+0003
"bmt99456814.3"    ,    0.00000,  8.27145E+0003,  7.96743E+0003
"bmt157033209.1"   ,    0.00000,  8.27118E+0003,  7.96743E+0003
"bmt157033209.2"   ,    0.00000,  8.27005E+0003,  7.96743E+0003
"bmt157033209.3"   ,    0.00000,  8.27145E+0003,  7.96743E+0003
"bmt157033210.1"   ,    0.00000,  8.27118E+0003,  7.96743E+0003
"bmt157033210.2"   ,    0.00000,  8.27005E+0003,  7.96743E+0003
"bmt157033210.3"   ,    0.00000,  8.27145E+0003,  7.96743E+0003
"bmt157033211.1"   ,    0.00000,  8.27118E+0003,  7.96743E+0003
"bmt157033211.2"   ,    0.00000,  8.27005E+0003,  7.96743E+0003
"bmt157033211.3"   ,    0.00000,  8.27145E+0003,  7.96743E+0003
"bmt6196822b.1"    ,    0.00000,  8.26945E+0003,  7.96743E+0003
"bmt6196822b.2"    ,    0.00000,  8.26834E+0003,  7.96743E+0003
"bmt6196822b.3"    ,    0.00000,  8.26975E+0003,  7.96743E+0003
"bmt99456849.1"    ,    0.00000,  8.26804E+0003,  7.96743E+0003
"bmt99456849.2"    ,    0.00000,  8.26693E+0003,  7.96743E+0003
"bmt99456849.3"    ,    0.00000,  8.26834E+0003,  7.96743E+0003
"bmt6200476b.1"    ,    0.00000,  8.26726E+0003,  7.96743E+0003
"bmt6200476b.2"    ,    0.00000,  8.26615E+0003,  7.96743E+0003
"bmt6200476b.3"    ,    0.00000,  8.26757E+0003,  7.96743E+0003
"bmt99456863.1"    ,    0.00000,  8.26577E+0003,  7.96743E+0003
"bmt99456863.2"    ,    0.00000,  8.26466E+0003,  7.96743E+0003
"bmt99456863.3"    ,    0.00000,  8.26608E+0003,  7.96743E+0003
"bmt6200476c.1"    ,    0.00000,  8.27062E+0003,  7.96743E+0003
"bmt6200476c.2"    ,    0.00000,  8.26941E+0003,  7.96743E+0003
"bmt6200476c.3"    ,    0.00000,  8.27060E+0003,  7.96743E+0003
"bmt157033036.1"   ,    0.00000,  8.27040E+0003,  7.96743E+0003
"bmt157033036.2"   ,    0.00000,  8.26915E+0003,  7.96743E+0003
"bmt157033036.3"   ,    0.00000,  8.27026E+0003,  7.96743E+0003
"bmt6200595b.1"    ,    0.00000,  8.26961E+0003,  7.96743E+0003
"bmt6200595b.2"    ,    0.00000,  8.26826E+0003,  7.96743E+0003
"bmt6200595b.3"    ,    0.00000,  8.26905E+0003,  7.96743E+0003
"bmt16387065.1"    ,    0.00000,  8.26944E+0003,  7.96743E+0003
"bmt16387065.2"    ,    0.00000,  8.26806E+0003,  7.96743E+0003
"bmt16387065.3"    ,    0.00000,  8.26880E+0003,  7.96743E+0003
"bmt6200595c.1"    ,    0.00000,  8.26064E+0003,  7.96743E+0003
"bmt6200595c.2"    ,    0.00000,  8.25610E+0003,  7.96743E+0003
"bmt6200595c.3"    ,    0.00000,  8.26395E+0003,  7.96743E+0003
"bmt103773756.1"   ,    0.00000,  8.26051E+0003,  7.96743E+0003
"bmt103773756.2"   ,    0.00000,  8.25596E+0003,  7.96743E+0003
"bmt103773756.3"   ,    0.00000,  8.26381E+0003,  7.96743E+0003
"bmt2610021b.1"    ,    0.00000,  8.26932E+0003,  7.96743E+0003
"bmt2610021b.2"    ,    0.00000,  8.26793E+0003,  7.96743E+0003
"bmt2610021b.3"    ,    0.00000,  8.26862E+0003,  7.96743E+0003
"bmt6200805b.1"    ,    0.00000,  8.26076E+0003,  7.96743E+0003
"bmt6200805b.2"    ,    0.00000,  8.25622E+0003,  7.96743E+0003
"bmt6200805b.3"    ,    0.00000,  8.26408E+0003,  7.96743E+0003
"bmt6205523b.1"    ,    0.00000,  8.22454E+0003,  7.96743E+0003
"bmt6205523b.2"    ,    0.00000,  8.22341E+0003,  7.96743E+0003
"bmt6205523b.3"    ,    0.00000,  8.22486E+0003,  7.96743E+0003
"bmt734987b.1"     ,    0.00000,  8.22432E+0003,  7.96743E+0003
"bmt734987b.2"     ,    0.00000,  8.22319E+0003,  7.96743E+0003
"bmt734987b.3"     ,    0.00000,  8.22464E+0003,  7.96743E+0003
"bmt6205523c.1"    ,    0.00000,  8.26514E+0003,  7.96743E+0003
"bmt6205523c.2"    ,    0.00000,  8.26316E+0003,  7.96743E+0003
"bmt6205523c.3"    ,    0.00000,  8.26221E+0003,  7.96743E+0003
"bmt734987c.1"     ,    0.00000,  8.26511E+0003,  7.96743E+0003
"bmt734987c.2"     ,    0.00000,  8.26313E+0003,  7.96743E+0003
"bmt734987c.3"     ,    0.00000,  8.26217E+0003,  7.96743E+0003
