
-------------------
Convergence Report:
-------------------
"Bus.Node", "Error", "|V|","Vbase"
"bmt124405859.1"   ,    0.00000,  8.30463E+0003,  7.96743E+0003
"bmt124405859.2"   ,    0.00000,  8.26455E+0003,  7.96743E+0003
"bmt124405859.3"   ,    0.00000,  8.28925E+0003,  7.96743E+0003
"bmt162141345.1"   ,    0.00000,  8.11128E+0003,  7.96743E+0003
"bmt162141345.2"   ,    0.00000,  8.05320E+0003,  7.96743E+0003
"bmt162141345.3"   ,    0.00000,  8.06470E+0003,  7.96743E+0003
"bmt4169928b.1"    ,    0.00000,  8.11128E+0003,  7.96743E+0003
"bmt4169928b.2"    ,    0.00000,  8.05320E+0003,  7.96743E+0003
"bmt4169928b.3"    ,    0.00000,  8.06470E+0003,  7.96743E+0003
"bmt4169921b.1"    ,    0.00000,  8.11128E+0003,  7.96743E+0003
"bmt4169921b.2"    ,    0.00000,  8.05320E+0003,  7.96743E+0003
"bmt4169921b.3"    ,    0.00000,  8.06470E+0003,  7.96743E+0003
"bmt4169914b.1"    ,    0.00000,  8.11128E+0003,  7.96743E+0003
"bmt4169914b.2"    ,    0.00000,  8.05320E+0003,  7.96743E+0003
"bmt4169914b.3"    ,    0.00000,  8.06470E+0003,  7.96743E+0003
"bmt4169907b.1"    ,    0.00000,  8.11128E+0003,  7.96743E+0003
"bmt4169907b.2"    ,    0.00000,  8.05320E+0003,  7.96743E+0003
"bmt4169907b.3"    ,    0.00000,  8.06470E+0003,  7.96743E+0003
"bmt162141347.1"   ,    0.00000,  8.11128E+0003,  7.96743E+0003
"bmt162141347.2"   ,    0.00000,  8.05320E+0003,  7.96743E+0003
"bmt162141347.3"   ,    0.00000,  8.06469E+0003,  7.96743E+0003
"bmt162346817.1"   ,    0.00000,  8.19082E+0003,  7.96743E+0003
"bmt162346817.2"   ,    0.00000,  8.13915E+0003,  7.96743E+0003
"bmt162346817.3"   ,    0.00000,  8.16813E+0003,  7.96743E+0003
"bmt8757212b.1"    ,    0.00000,  8.19081E+0003,  7.96743E+0003
"bmt8757212b.2"    ,    0.00000,  8.13914E+0003,  7.96743E+0003
"bmt8757212b.3"    ,    0.00000,  8.16811E+0003,  7.96743E+0003
"bmt8757213b.1"    ,    0.00000,  8.19081E+0003,  7.96743E+0003
"bmt8757213b.2"    ,    0.00000,  8.13914E+0003,  7.96743E+0003
"bmt8757213b.3"    ,    0.00000,  8.16810E+0003,  7.96743E+0003
"bmt8757215b.1"    ,    0.00000,  8.19080E+0003,  7.96743E+0003
"bmt8757215b.2"    ,    0.00000,  8.13913E+0003,  7.96743E+0003
"bmt8757215b.3"    ,    0.00000,  8.16809E+0003,  7.96743E+0003
"bmt8757217b.1"    ,    0.00000,  8.19080E+0003,  7.96743E+0003
"bmt8757217b.2"    ,    0.00000,  8.13913E+0003,  7.96743E+0003
"bmt8757217b.3"    ,    0.00000,  8.16808E+0003,  7.96743E+0003
"bmt8757249b.1"    ,    0.00000,  8.19080E+0003,  7.96743E+0003
"bmt8757249b.2"    ,    0.00000,  8.13912E+0003,  7.96743E+0003
"bmt8757249b.3"    ,    0.00000,  8.16807E+0003,  7.96743E+0003
"bmt8757258b.1"    ,    0.00000,  8.19079E+0003,  7.96743E+0003
"bmt8757258b.2"    ,    0.00000,  8.13911E+0003,  7.96743E+0003
"bmt8757258b.3"    ,    0.00000,  8.16806E+0003,  7.96743E+0003
