
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus            Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

bmt125127769      8.286       1.04  7.127E-007  8.601E-006   0.02564    0.3095
bmt165948270      8.194      1.028          0          0         0         0
bmt165948271      8.194      1.028          0          0         0         0
bmt2583705b       8.193      1.028          0          0         0         0
bmt165948273      8.194      1.028          0          0         0         0
bmt173136960      8.206       1.03     0.1044      1.272   0.05296    0.6453
bmt173136962      8.247      1.035          0          0         0         0
bmt125125081      8.195      1.029    0.05201     0.6347   0.03521    0.4297
bmt160818315      8.194      1.028     0.0521     0.6357   0.03522    0.4298
bmt125125627      8.187      1.028          0          0         0         0
bmt2607876b       8.186      1.027          0          0         0         0
bmt160818316      8.194      1.028    0.05216     0.6366   0.03523      0.43
bmt160818318      8.186      1.027          0          0         0         0
bmt2607827b       8.194      1.028    0.05222     0.6374   0.03524    0.4301
bmt1599729b       8.305      1.042    0.03625     0.4365   0.03121    0.3758
bmt2612447b       8.305      1.042    0.03625     0.4365   0.03121    0.3758
bmt168861588      8.305      1.042    0.03625     0.4365   0.03121    0.3758
bmt168861590      8.302      1.042          0          0         0         0
bmt168861587      8.305      1.042    0.03624     0.4363   0.03121    0.3758
bmt1599743b       8.305      1.042    0.03609     0.4346   0.03117    0.3753
bmt2621386b       8.305      1.042    0.03608     0.4344   0.03117    0.3753
bmt168861586      8.305      1.042    0.03606     0.4342   0.03117    0.3753
bmt157002451       8.31      1.043          0          0         0         0
bmt2621449b       8.305      1.042    0.03608     0.4344   0.03115    0.3751
bmt1599757b       8.306      1.042    0.03611     0.4347   0.03111    0.3746
bmt2622828b       8.306      1.042    0.03612     0.4349    0.0311    0.3744
bmt168861584      8.306      1.042    0.03614     0.4351   0.03108    0.3742
bmt168861585      8.304      1.042          0          0         0         0
bmt2623773b       8.306      1.043    0.03614     0.4351   0.03107    0.3741
bmt1599771b       8.306      1.043    0.03614     0.4351   0.03107     0.374
bmt2623780b       8.306      1.043    0.03614     0.4352   0.03106     0.374
bmt168861582      8.306      1.043    0.03617     0.4354   0.03102    0.3734
bmt168861583      8.303      1.042          0          0         0         0
bmt2623871b       8.307      1.043    0.03617     0.4354   0.03101    0.3733
bmt168861580      8.307      1.043    0.03616     0.4354   0.03099     0.373
bmt168861581      8.307      1.043    0.03616     0.4354   0.03099     0.373
bmt125139473      8.312      1.043          0          0         0         0
bmt168861597      8.307      1.043    0.03616     0.4354   0.03099     0.373
bmt1599799b       8.312      1.043          0          0         0         0
bmt125139585      8.312      1.043          0          0         0         0
bmt1599806b       8.179      1.027          0          0         0         0
bmt2624774b       8.178      1.026          0          0         0         0
bmt169225869      8.175      1.026          0          0         0         0
bmt169225871      8.175      1.026          0          0         0         0
bmt125125277      8.175      1.026          0          0         0         0
bmt2625488b       8.175      1.026          0          0         0         0
bmt169225872      8.175      1.026          0          0         0         0
bmt169225873      8.175      1.026          0          0         0         0
bmt2633552b       8.175      1.026          0          0         0         0
bmt169225875      8.173      1.026          0          0         0         0
bmt2615219b       8.173      1.026          0          0         0         0
bmt2615240b       8.173      1.026          0          0         0         0
bmt152729027       8.19      1.028    0.05265     0.6429   0.03529    0.4309
bmt152729028       8.19      1.028    0.05265     0.6429   0.03529     0.431
bmt2624578b       8.183      1.027          0          0         0         0
bmt152729029      8.183      1.027          0          0         0         0
bmt2907938b       8.183      1.027          0          0         0         0
bmt125117346      8.256      1.036    0.03643     0.4412   0.03825    0.4633
bmt173119500      8.249      1.035    0.03698     0.4483   0.03854    0.4672
bmt173216060      8.248      1.035          0          0         0         0
bmt2617081b       8.248      1.035          0          0         0         0
bmt125117360      8.257      1.036          0          0         0         0
bmt2617172b       8.241      1.034    0.03767     0.4571   0.03885    0.4714
bmt173216061      8.248      1.035          0          0         0         0
bmt173216062      8.248      1.035          0          0         0         0
bmt1599869b       8.248      1.035          0          0         0         0
bmt2617116b       8.248      1.035          0          0         0         0
bmt173216063      8.248      1.035          0          0         0         0
bmt173216064      8.248      1.035          0          0         0         0
bmt125124668      8.231      1.033          0          0         0         0
bmt125124675      8.231      1.033          0          0         0         0
bmt125117381      8.229      1.033    0.03897     0.4736   0.03936    0.4784
bmt2617305b       8.227      1.033    0.03919     0.4764   0.03945    0.4795
bmt125117577      8.257      1.036          0          0         0         0
bmt2617137b       8.257      1.036          0          0         0         0
bmt125124633      8.225      1.032          0          0         0         0
bmt2617347b       8.225      1.032          0          0         0         0
bmt125117388      8.225      1.032    0.03939     0.4789   0.03952    0.4804
bmt173119503      8.223      1.032    0.03964      0.482   0.03961    0.4817
bmt125124682      8.231      1.033          0          0         0         0
bmt125124696      8.231      1.033          0          0         0         0
bmt125124703      8.231      1.033          0          0         0         0
bmt173119507      8.214      1.031    0.04076     0.4962   0.04001     0.487
bmt173119508      8.214      1.031    0.04076     0.4962   0.04001     0.487
bmt173119509      8.212      1.031          0          0         0         0
bmt2609164b       8.213      1.031    0.04097     0.4989   0.04009    0.4881
bmt125124444      8.209       1.03          0          0         0         0
bmt125124451      8.209       1.03          0          0         0         0
bmt125117444      8.208       1.03     0.0416     0.5069   0.04031    0.4911
bmt2609185b       8.206       1.03    0.04182     0.5097   0.04039    0.4922
bmt125117437      8.212      1.031          0          0         0         0
bmt2610788b       8.212      1.031          0          0         0         0
